Fecha;Cod_Libro;Cod_Usuario;Valor_Prestamo
01/01/2025;L016;U023;700
01/01/2025;L017;U048;700
02/01/2025;L002;U064;700
03/01/2025;L008;U006;700
03/01/2025;L020;U007;700
03/01/2025;L015;U025;700
03/01/2025;L031;U048;700
03/01/2025;L015;U043;700
03/01/2025;L031;U057;700
03/01/2025;L029;U037;700
03/01/2025;L007;U004;700
03/01/2025;L027;U075;700
04/01/2025;L021;U038;700
04/01/2025;L012;U002;700
04/01/2025;L001;U040;700
04/01/2025;L014;U082;700
04/01/2025;L036;U088;700
04/01/2025;L022;U032;700
04/01/2025;L035;U075;700
04/01/2025;L014;U029;700
04/01/2025;L026;U082;700
05/01/2025;L031;U075;700
06/01/2025;L008;U040;700
06/01/2025;L036;U003;700
06/01/2025;L026;U081;700
06/01/2025;L023;U047;700
06/01/2025;L022;U038;700
06/01/2025;L006;U063;700
06/01/2025;L008;U054;700
06/01/2025;L012;U030;700
07/01/2025;L031;U011;700
07/01/2025;L029;U022;700
07/01/2025;L023;U081;700
07/01/2025;L003;U012;700
07/01/2025;L009;U009;700
08/01/2025;L011;U016;700
08/01/2025;L018;U016;700
08/01/2025;L027;U026;700
08/01/2025;L008;U060;700
08/01/2025;L030;U060;700
09/01/2025;L026;U040;700
09/01/2025;L031;U014;700
09/01/2025;L009;U057;700
09/01/2025;L028;U036;700
09/01/2025;L016;U036;700
09/01/2025;L033;U081;700
09/01/2025;L027;U040;700
10/01/2025;L030;U014;700
10/01/2025;L002;U043;700
10/01/2025;L027;U046;700
10/01/2025;L037;U020;700
11/01/2025;L023;U079;700
12/01/2025;L039;U070;700
12/01/2025;L018;U060;700
13/01/2025;L026;U060;700
13/01/2025;L002;U081;700
13/01/2025;L014;U044;700
13/01/2025;L026;U019;700
13/01/2025;L015;U062;700
13/01/2025;L021;U016;700
13/01/2025;L003;U053;700
13/01/2025;L014;U044;700
13/01/2025;L011;U081;700
13/01/2025;L023;U077;700
13/01/2025;L012;U007;700
13/01/2025;L002;U047;700
13/01/2025;L015;U070;700
13/01/2025;L018;U075;700
14/01/2025;L023;U063;700
14/01/2025;L009;U047;700
14/01/2025;L031;U026;700
14/01/2025;L011;U039;700
15/01/2025;L040;U034;700
15/01/2025;L039;U061;700
15/01/2025;L037;U070;700
15/01/2025;L017;U071;700
16/01/2025;L032;U081;700
16/01/2025;L003;U005;700
16/01/2025;L027;U064;700
17/01/2025;L012;U059;700
17/01/2025;L015;U035;700
17/01/2025;L037;U027;700
17/01/2025;L029;U017;700
17/01/2025;L022;U037;700
17/01/2025;L012;U083;700
17/01/2025;L003;U021;700
17/01/2025;L023;U053;700
17/01/2025;L030;U012;700
17/01/2025;L034;U075;700
17/01/2025;L017;U054;700
17/01/2025;L013;U025;700
17/01/2025;L008;U026;700
17/01/2025;L003;U081;700
18/01/2025;L009;U080;700
18/01/2025;L011;U090;700
18/01/2025;L039;U063;700
19/01/2025;L026;U052;700
19/01/2025;L039;U083;700
19/01/2025;L017;U024;700
19/01/2025;L016;U029;700
19/01/2025;L009;U073;700
19/01/2025;L008;U090;700
19/01/2025;L023;U037;700
19/01/2025;L021;U090;700
19/01/2025;L002;U084;700
19/01/2025;L026;U016;700
20/01/2025;L031;U039;700
20/01/2025;L030;U036;700
20/01/2025;L025;U018;700
20/01/2025;L018;U014;700
20/01/2025;L015;U065;700
20/01/2025;L014;U044;700
20/01/2025;L011;U075;700
20/01/2025;L015;U029;700
20/01/2025;L004;U016;700
20/01/2025;L015;U054;700
20/01/2025;L039;U021;700
20/01/2025;L026;U024;700
20/01/2025;L022;U051;700
20/01/2025;L038;U025;700
20/01/2025;L033;U060;700
20/01/2025;L011;U055;700
21/01/2025;L018;U076;700
21/01/2025;L013;U074;700
21/01/2025;L023;U077;700
21/01/2025;L039;U072;700
21/01/2025;L031;U024;700
21/01/2025;L030;U026;700
21/01/2025;L018;U059;700
21/01/2025;L015;U018;700
21/01/2025;L017;U081;700
21/01/2025;L011;U081;700
21/01/2025;L039;U042;700
21/01/2025;L036;U073;700
21/01/2025;L008;U072;700
21/01/2025;L007;U006;700
21/01/2025;L033;U031;700
21/01/2025;L003;U008;700
21/01/2025;L031;U046;700
21/01/2025;L033;U051;700
21/01/2025;L023;U064;700
21/01/2025;L024;U015;700
22/01/2025;L023;U012;700
22/01/2025;L015;U061;700
23/01/2025;L022;U012;700
23/01/2025;L012;U087;700
23/01/2025;L027;U050;700
24/01/2025;L035;U046;700
24/01/2025;L018;U009;700
24/01/2025;L014;U076;700
24/01/2025;L028;U081;700
25/01/2025;L037;U009;700
25/01/2025;L019;U006;700
25/01/2025;L016;U047;700
25/01/2025;L002;U066;700
26/01/2025;L010;U042;700
26/01/2025;L019;U066;700
26/01/2025;L009;U081;700
26/01/2025;L037;U072;700
26/01/2025;L011;U054;700
26/01/2025;L009;U008;700
26/01/2025;L009;U044;700
26/01/2025;L011;U012;700
26/01/2025;L007;U061;700
26/01/2025;L015;U077;700
26/01/2025;L019;U033;700
26/01/2025;L005;U083;700
26/01/2025;L016;U064;700
26/01/2025;L028;U075;700
26/01/2025;L014;U041;700
26/01/2025;L038;U045;700
26/01/2025;L028;U037;700
26/01/2025;L022;U034;700
27/01/2025;L004;U081;700
27/01/2025;L011;U085;700
