Fecha;Cod_Libro;Cod_Usuario;Valor_Prestamo
01/04/2025;L040;U063;800
01/04/2025;L022;U032;800
01/04/2025;L012;U046;800
01/04/2025;L002;U042;800
02/04/2025;L010;U074;800
02/04/2025;L007;U030;800
03/04/2025;L011;U033;800
04/04/2025;L010;U074;800
04/04/2025;L005;U052;800
04/04/2025;L033;U071;800
04/04/2025;L004;U057;800
04/04/2025;L034;U003;800
04/04/2025;L029;U013;800
04/04/2025;L012;U020;800
04/04/2025;L037;U012;800
05/04/2025;L003;U058;800
05/04/2025;L031;U007;800
05/04/2025;L023;U067;800
05/04/2025;L031;U081;800
05/04/2025;L024;U010;800
06/04/2025;L040;U032;800
06/04/2025;L036;U041;800
06/04/2025;L007;U014;800
06/04/2025;L039;U065;800
06/04/2025;L010;U035;800
06/04/2025;L035;U063;800
06/04/2025;L031;U068;800
06/04/2025;L009;U035;800
06/04/2025;L039;U028;800
06/04/2025;L011;U057;800
06/04/2025;L018;U018;800
06/04/2025;L002;U089;800
06/04/2025;L027;U026;800
06/04/2025;L027;U079;800
06/04/2025;L023;U047;800
07/04/2025;L039;U042;800
07/04/2025;L006;U083;800
07/04/2025;L035;U022;800
07/04/2025;L009;U044;800
07/04/2025;L002;U089;800
07/04/2025;L030;U040;800
07/04/2025;L008;U001;800
08/04/2025;L023;U012;800
08/04/2025;L029;U019;800
09/04/2025;L023;U080;800
09/04/2025;L036;U043;800
09/04/2025;L011;U028;800
10/04/2025;L030;U081;800
10/04/2025;L007;U025;800
10/04/2025;L017;U044;800
10/04/2025;L007;U090;800
10/04/2025;L039;U063;800
10/04/2025;L024;U060;800
11/04/2025;L009;U030;800
11/04/2025;L008;U026;800
11/04/2025;L026;U023;800
11/04/2025;L015;U037;800
11/04/2025;L001;U055;800
11/04/2025;L023;U052;800
11/04/2025;L010;U090;800
12/04/2025;L016;U002;800
12/04/2025;L002;U001;800
12/04/2025;L009;U081;800
13/04/2025;L003;U083;800
13/04/2025;L008;U014;800
14/04/2025;L023;U053;800
14/04/2025;L002;U031;800
15/04/2025;L023;U007;800
15/04/2025;L027;U056;800
15/04/2025;L002;U024;800
16/04/2025;L030;U033;800
16/04/2025;L039;U041;800
16/04/2025;L011;U081;800
17/04/2025;L039;U029;800
17/04/2025;L012;U033;800
17/04/2025;L008;U038;800
18/04/2025;L037;U031;800
18/04/2025;L002;U002;800
19/04/2025;L037;U074;800
19/04/2025;L034;U036;800
19/04/2025;L015;U026;800
19/04/2025;L023;U088;800
19/04/2025;L026;U015;800
19/04/2025;L024;U022;800
19/04/2025;L020;U012;800
19/04/2025;L009;U086;800
19/04/2025;L039;U090;800
19/04/2025;L027;U058;800
19/04/2025;L011;U023;800
19/04/2025;L012;U004;800
19/04/2025;L015;U068;800
20/04/2025;L012;U005;800
21/04/2025;L006;U046;800
21/04/2025;L039;U081;800
21/04/2025;L033;U006;800
21/04/2025;L019;U081;800
21/04/2025;L030;U079;800
21/04/2025;L024;U079;800
21/04/2025;L022;U066;800
21/04/2025;L001;U084;800
21/04/2025;L008;U027;800
21/04/2025;L017;U075;800
21/04/2025;L011;U018;800
21/04/2025;L040;U089;800
22/04/2025;L030;U040;800
22/04/2025;L022;U046;800
23/04/2025;L040;U056;800
23/04/2025;L029;U014;800
23/04/2025;L027;U073;800
23/04/2025;L037;U085;800
23/04/2025;L035;U008;800
23/04/2025;L029;U064;800
23/04/2025;L028;U081;800
23/04/2025;L038;U089;800
24/04/2025;L010;U078;800
25/04/2025;L036;U030;800
25/04/2025;L039;U026;800
25/04/2025;L031;U084;800
25/04/2025;L019;U026;800
25/04/2025;L011;U087;800
25/04/2025;L016;U044;800
25/04/2025;L018;U013;800
25/04/2025;L012;U086;800
25/04/2025;L010;U035;800
25/04/2025;L018;U081;800
25/04/2025;L007;U081;800
25/04/2025;L007;U037;800
25/04/2025;L021;U081;800
25/04/2025;L035;U078;800
25/04/2025;L037;U004;800
25/04/2025;L003;U058;800
25/04/2025;L002;U081;800
25/04/2025;L023;U071;800
25/04/2025;L026;U020;800
25/04/2025;L019;U078;800
25/04/2025;L012;U003;800
25/04/2025;L012;U057;800
25/04/2025;L004;U081;800
25/04/2025;L001;U060;800
25/04/2025;L018;U055;800
26/04/2025;L033;U018;800
26/04/2025;L003;U088;800
26/04/2025;L026;U053;800
26/04/2025;L028;U052;800
26/04/2025;L002;U076;800
26/04/2025;L016;U078;800
27/04/2025;L039;U007;800
27/04/2025;L023;U070;800
27/04/2025;L024;U046;800
27/04/2025;L002;U081;800
28/04/2025;L012;U089;800
28/04/2025;L031;U001;800
28/04/2025;L012;U054;800
28/04/2025;L029;U058;800
28/04/2025;L039;U002;800
29/04/2025;L012;U059;800
30/04/2025;L001;U010;800
30/04/2025;L026;U082;800
01/05/2025;L037;U042;800
01/05/2025;L006;U051;800
