id_del_curso;Precio
522426; 200.000 
820194; 200.000 
870936; 200.000 
178044; 200.000 
595876; 200.000 
1199928; 200.000 
522784; 200.000 
1046722; 200.000 
1164832; 200.000 
1120554; 200.000 
1100628; 200.000 
651014; 200.000 
897238; 200.000 
632702; 200.000 
1139792; 200.000 
1164720; 200.000 
961684; 200.000 
1228900; 200.000 
866796; 200.000 
1216132; 200.000 
1164570; 200.000 
520766; 200.000 
1094930; 200.000 
1219326; 200.000 
400130; 200.000 
416548; 200.000 
561188; 200.000 
494058; 200.000 
380668; 200.000 
563708; 200.000 
749542; 200.000 
520468; 200.000 
640428; 200.000 
640426; 200.000 
337072; 200.000 
1151326; 195.000 
960898; 195.000 
1008100; 195.000 
1013676; 195.000 
737642; 195.000 
792232; 195.000 
489114; 195.000 
464184; 195.000 
474076; 195.000 
876444; 195.000 
518870; 195.000 
1015308; 195.000 
516394; 195.000 
854746; 195.000 
1216164; 195.000 
356840; 195.000 
1240730; 195.000 
519968; 190.000 
1085646; 185.000 
905244; 185.000 
826202; 180.000 
1145736; 180.000 
933888; 180.000 
834114; 175.000 
438420; 165.000 
349586; 165.000 
632136; 155.000 
967486; 150.000 
1047436; 150.000 
327666; 150.000 
501140; 150.000 
880202; 150.000 
1067516; 150.000 
1117796; 150.000 
874012; 150.000 
405488; 150.000 
751230; 150.000 
231970; 150.000 
913768; 150.000 
1275872; 150.000 
530436; 150.000 
885479; 150.000 
555952; 145.000 
413713; 145.000 
998580; 140.000 
635716; 135.000 
447210; 135.000 
1274846; 135.000 
1242692; 135.000 
1092766; 125.000 
808542; 125.000 
686430; 125.000 
636548; 120.000 
948294; 120.000 
968268; 120.000 
922092; 120.000 
472592; 115.000 
873296; 105.000 
269082; 105.000 
406504; 105.000 
1269190; 100.000 
575040; 100.000 
638040; 100.000 
927186; 100.000 
771044; 100.000 
1027080; 100.000 
1012262; 100.000 
1147664; 100.000 
727510; 100.000 
482924; 100.000 
996868; 100.000 
983444; 100.000 
1243016; 100.000 
1160004; 100.000 
1266468; 100.000 
908664; 100.000 
654038; 100.000 
950894; 100.000 
1246168; 100.000 
978462; 100.000 
1161864; 100.000 
757900; 100.000 
490392; 100.000 
952106; 95.000 
1115504; 95.000 
1055424; 95.000 
452092; 95.000 
19164; 95.000 
286160; 95.000 
1126016; 95.000 
1146166; 95.000 
805882; 95.000 
857144; 95.000 
52457; 95.000 
62721; 95.000 
846214; 95.000 
787096; 95.000 
834226; 95.000 
850426; 95.000 
396204; 95.000 
530426; 95.000 
787204; 95.000 
1197206; 95.000 
424770; 95.000 
860656; 95.000 
775252; 95.000 
1004512; 90.000 
1142428; 90.000 
628786; 90.000 
1165588; 90.000 
395652; 85.000 
1027480; 85.000 
724824; 85.000 
326338; 85.000 
513212; 80.000 
1202746; 80.000 
1009622; 80.000 
1190334; 80.000 
314698; 80.000 
1185390; 80.000 
117004; 75.000 
532140; 75.000 
691641; 75.000 
1236254; 75.000 
412864; 75.000 
482208; 75.000 
371074; 75.000 
1219814; 75.000 
1265678; 70.000 
701468; 70.000 
770622; 70.000 
690918; 70.000 
711688; 70.000 
1095488; 70.000 
1049380; 65.000 
1168910; 65.000 
1262470; 65.000 
1092632; 65.000 
1246252; 65.000 
28556; 65.000 
403764; 60.000 
870368; 60.000 
1177670; 60.000 
62497; 55.000 
15467; 55.000 
1035402; 55.000 
1068664; 55.000 
1151342; 55.000 
750934; 50.000 
546848; 50.000 
1163768; 50.000 
657764; 50.000 
585566; 50.000 
172906; 50.000 
1143148; 50.000 
625920; 50.000 
978576; 50.000 
784478; 50.000 
631148; 50.000 
477634; 50.000 
58791; 50.000 
720300; 50.000 
1197810; 50.000 
1047750; 50.000 
655198; 50.000 
1068902; 50.000 
780150; 50.000 
1184664; 50.000 
794036; 50.000 
288110; 50.000 
1104858; 50.000 
47004; 50.000 
288850; 50.000 
861444; 50.000 
622284; 50.000 
966268; 50.000 
310652; 50.000 
1007622; 50.000 
1087244; 50.000 
1049760; 50.000 
953220; 50.000 
297702; 50.000 
964478; 50.000 
546832; 50.000 
681878; 50.000 
738198; 50.000 
1178226; 50.000 
514398; 50.000 
177584; 50.000 
1009068; 45.000 
922464; 45.000 
53556; 45.000 
1029554; 45.000 
634480; 45.000 
133968; 45.000 
1226182; 45.000 
365926; 45.000 
536780; 45.000 
558432; 45.000 
53549; 45.000 
358998; 45.000 
463354; 45.000 
49553; 45.000 
446936; 40.000 
585174; 40.000 
1211198; 40.000 
1165016; 40.000 
1008654; 40.000 
843620; 40.000 
682060; 40.000 
334530; 40.000 
188584; 40.000 
835082; 40.000 
801186; 40.000 
904144; 40.000 
601092; 40.000 
1201118; 40.000 
197610; 40.000 
865634; 40.000 
649404; 40.000 
628440; 40.000 
705444; 40.000 
1153326; 40.000 
855764; 40.000 
1200856; 40.000 
15611; 40.000 
1114470; 40.000 
943724; 40.000 
946326; 40.000 
1093446; 35.000 
1216554; 35.000 
177472; 35.000 
1106490; 35.000 
520876; 35.000 
